Name,Party,Parliament,Politician ID,RidingID,Province,Gender,ranfor43,reelected43,QuestionPeriod,PvtMemBills,Statements,Backbencher ,DOB1,AgeOnElectionDay,YearsServedAtTimeOfElection
Luc Thériault,Bloc Québécois,42,9460,24050,QC,M,Yes,Yes,118,2,17,0,1960-01-31,59,4.008219178
Anthony Housefather,Liberal Party of Canada,42,9466,24052,QC,M,Yes,Yes,7,1,27,1,25-Jan-73,46,4.008219178
Jean Yip,Liberal Party of Canada,43,10619,35093,ON,F,Yes,Yes,6,0,10,1,1968-01-01,51,1.860273973
Frank Baylis,Liberal Party of Canada,42,9487,24056,QC,M,No,.,12,0,27,1,1962-11-15,56,4.008219178
William Amos,Liberal Party of Canada,42,9490,24057,QC,M,Yes,Yes,18,0,30,1,04-Dec-74,44,4.008219178
Joël Lightbound,Liberal Party of Canada,42,9497,24044,QC,M,Yes,Yes,121,0,19,1,1988-02-08,31,4.008219178
Jean-Yves Duclos,Liberal Party of Canada,42,9501,24059,QC,M,Yes,Yes,262,0,0,0,01-Jan-65,54,4.008219178
John Aldag,Liberal Party of Canada,42,9511,59007,BC,M,Yes,No,11,1,28,0,01-Jan-63,56,4.008219178
MaryAnn Mihychuk,Liberal Party of Canada,42,9539,46006,MB,F,Yes,No,117,0,18,0,1955-02-27,64,4.008219178
Stephen Fuhr,Liberal Party of Canada,42,9542,59014,BC,M,Yes,No,9,0,16,1,1969-05-27,50,4.008219178
Todd Doherty,Conservative Party of Canada,42,9547,59004,BC,M,Yes,Yes,115,5,43,0,01-Jan-68,51,4.008219178
Daniel Blaikie,New Democratic Party,42,9549,46005,MB,M,Yes,Yes,59,1,17,1,1984-01-01,35,4.008219178
TJ Harvey,Liberal Party of Canada,42,9553,13010,NB,M,No,.,10,1,25,1,23-Aug-82,37,4.008219178
James Maloney,Liberal Party of Canada,42,9556,35028,ON,M,Yes,Yes,12,0,23,1,16-Jul-64,55,4.008219178
Tracey Ramsey,New Democratic Party,42,9564,35026,ON,F,Yes,No,193,1,24,0,1971-04-14,48,4.008219178
Karen Louise Vecchio,Conservative Party of Canada,42,9568,35025,ON,F,Yes,Yes,97,0,42,0,06-Mar-71,48,4.008219178
Marco Mendicino,Liberal Party of Canada,42,9572,35024,ON,M,Yes,Yes,30,0,27,1,1973-07-28,46,4.008219178
Gabriel Ste-Marie,Bloc Québécois,42,9589,24031,QC,M,Yes,Yes,158,1,20,1,,,4.008219178
